Source,Target
For my own part^ I do not heUeve they hare c(Â»ne,any determina-
this delicate mutter is,be approached with safety
Then they have,depend on Congress for means
If they are disposed,treat in Sober earnest^ then^ they will re-
quire the authority of Congress,negotiate. If
wisely come,the latter determination
the powers. If Govmt. are so timid that they are afraid,ask openly
for powers,negotiate
thirds of this force might march,the del Norte in pursuit of
readiness,form the Nucleus of the new invading Army; or the
Division,alarm Texas into a liberal peace
WJiere the money is,come from^ I know no^
jected the bill from the House asking for provision amd means to ,
"enable the Government to "" Restore Texas",to the National TJniork^
thirds vote; it can return again,the Senate
Tbbat,Lamab.^
I have the honor,endose jo\x by this day^s post the following
21st. inst. covering dup^ copies of papers No. 4,8 Indusive : and
22d. inst; to aU which I beg leave,refer you
I send the above with this letter,Vera Grus by this evening^s post^
are divided between two different Vessels^ bound,N. Orleans^ and
they will complete the duplicates of all my letters,up
had received my despatches^ up,20th. December
I regret that I am not able,report farther progress in my affairs
mitted,a CcAinet eounselj and StiU remains under the consideration
of the Qovmt without any reply whatever,Mr. Pakenham. I
which is imfavourable,the continuance of tranquility in that
Mr Pakenham will press the Govmt. to an early decision on his ,
own account J as he is very desirous,transTnit some determination to
The advices from Yucatan above referrd. to State that the revolu- ,
for fed^ation* It is said that troops are,be sent from Vera Cruz.
It is difficulty,learn facts here^ but the next arrival will give us
sustained its independence and never bowed,Centralism^ leaves a
Vacancy J which it is difficult for the Govmt. to fill without some disa- ,
I regret all these things,for they are aU calculated
The Bill declaring it Treason,advocate the rights of Texas
two latter,the Govmt. will not press. The former they would like to
Sending 5000 or 10000 Men on,the frontiers. It has all probably
sirous,to go
I am Sorry I have Nothing of greater interest,commimicate
So it is. / hope in my next I shall be able,say something more
cheering. The french Charge Mr De Lislle will be obliged,r^nain
Subnet,Tkeat.Â®
I have the pleasure,acknowledge various communications from
you directed,the President
This Government has omitted,address you heretofore
the peculiar delicacy oi your position. That obstacle,a free inter-
course being removed by ihe formal disclosure of your Mission,the
authorities of Mexico,It affords me great pleasure
committed,you
mitted,authorizing yx&gt;u
and boundaries,and
Treaty of Commerce etc,It is not thought advisable
vexatious questions relating,the commercial intercourse with Na-
always be disposed,reciprocate every benefit which the respective
I enclose you an official Letter,Mr. Pakenham
too obvious,escape the discernment of so intelligent a Gentleman
cease,recognize and appreciate.
is eminently adapted,the purpose.
form,any suggestions he may make relative
of the consideration,be paid
This Government can have no objection,the British holders of
will be paramount,any present advantages that can accrue to
instalments,their benefit should not be permitted
his proclamation,enjoining all Texian citizens
mitted,the Chief of the Anglo Americans who were imderstood
and cruelly put,death. This is an event not calculated
christian Massacres,or
actively renewed. But in as much as this atrocity is reported to ,
it as an insuperable obstacle,the proposed negotiation. But it
indignant people who know how,avenge a wrong which they would
honor,be your Obdt Servant
interest you have been pleased,manifest in the overtures made
Mr. James Treat,arrest the shedding of blood
Mr Treat is now furnished with full and regular Authority to ,
guarantee which you may feel it proper,offer
by this Government,treat with Mexico
has made or may make,you
The President requests me,tender you his cordial acknowledge-
Burnet,Pakenham
Sir,I pray you will pardon the liberty I have taken
I have the honor,be
Texas,negotiate for the recognition of the independence of Texas
Propositions of Texas,Mexico
Treat,Lamar
have the honor,hand you herewith. I am aware that I have suf-
fered an unusual period,elapse since I last had the pleasure to
without being able,communicate any thing more than my fre-
ceed,fill up the Vacant period of my Keport
permit me briefly,dispose of s(Mne of the principal topics referred
Â» March 21 1840,
Â« [March 21 1840,
where the Garrison and people Shewed a disposition,defend them-
or departments are invited,be represented
The bill So long before Congress,provide Ways and Means to
restore Texas,the union was finally lost in the Senate a few days
The bill against the liberty of the press was,submitted
remainds,be seen
The hiU declaring it Treason,talk or write about the dismem-
I have now reason,think that- Mr. Cafiedo
Three appointments are,be made for the United States : viz. â€” a
minister,supply the place of Mr. Martinez Pizarro deceased '^ and
temdl tranquility are the first things,be attained and that it is
justifiable,ViolMie the Constitution^ and oommit ohviaw^ tho' tern-
porary^ injustice,to attain these objects.
liberals^ and belong,the opposition
As regards St. Anna,he has a Small party only
to adopt him as belonging,their creed
likes,belong
another letter,accomfoay this. I will here add that I am StUl
Referring you,a Separate Communication which I shall address
I have the Honor,be with the highest respect and ConsideratioB :
Referring,my respects of day before Yesterday
to give the Govmt. ample time,consider and reflect upon my Expo-
and the greater opportunity would be afforded,enlighten themselves
instance,^ could hardly be adverted
in this city which caused the guards,be doubled and the Troops
Mr. P. assented ; stated that I was ready,present the propositions
I had been authorized,make
only waiting,an intimation
Cafiedo that he would be glad,See Tne. Three or four feast days
he invited m^ to call,and named the day and hour. I had an hour
peated all he had said,Mr. P. but went much further.
He said he had no objection,inform me privately
vidually [of] any thing and every thing I might wish,Imow
tion,the object of my mission
make,me with the Executive of Texas
should be given,any opinions he might utter
might Communicate,m^ as above.
He then proceeded,State his own individual opinion (favourable
The opinion of the President is wholly opposed,recognition
would perhaps assent,an Armistice; and in like manner
balance of the Cabinet â€” ^vrz: Almonte,opposed
action,and probably wishes
The Secretary then informed me what he had done,Secure for
the Councils of Govmt. and others out,of oftice
out of the city. That he had found some,concur with himself
others willing,do something
who were opposed,any arrangement. He hxid become convinced
be certain,be opposed by the opposition. That he had laboured
much,keep the subject open
personal and official influence endeavour,gain
general question,sufficient supporters
very truly,he was free
Govmt. could or would accede,the Main question
That they had no objections,do somethdng towards your widies and
He then said that he should be glad,receive my propositions
authorized,without regard
all that he could,considering his position
for him,insist on any particular point beyond those which might
fully authorized,call and see him whenever I pleased
wished a long interview^ to send him a Note,and he would appoint a
and especially as I was for the most part a listener. Suffice it,say
credence,and so far as I had any occasion
Having no secrets myself,I could not confide anything
countries involved,of course
Under tfieee circumstances she had ccmie,Mexico
bearing,do am/thing
the two countriea That I was sorry,find there was not power
or fortitude enough in the GoTmt. Departments,to take the question
I reported this interview,Mr. P. and requested Aim
himself in the Secretary's vray,and furnish him an opportunity to
repeat what he had said,me
considered the Secretary's Expose entitled,full credence.
I consulted Mr. Pakenham and submitted,him the Proposi-
tions I had thought best,under aU the circumstances^ to submit to
I have the honor,enclose you a copy of the propositions referred
The object in thus reducing it,a Single proposition was
the Main point,viz Recognition
There are some circumstances calculated,operate favourably
which^ is the result of time in whidi,think and reflect; for they
Hence^ time is indispensable,effect anythmg^ h^re. Notwith-
standing all this I anticipate a return of or answer to^ my proposal,
on the Secretary's private opinion^ and communications,to me as
and a half,Five; in case there are Tto incidental Expenses attend-
present Some counter-propositions Stating what they are willing to ,
propositions,whatever they may be
forward,or convey myself
am Sure it wUl n^t be contrary,the tenor and spirit of the Whole.
This done^ I shall,of course
will enable me soon,pay my personal Bespects
letters from Gren. Hamilton,Mr. Pakenham
don or Washington^ were not the only points,tlien^ to be Secured.
But as I must so soon now hear from you in reply,all my letters
and requests,it is useless further
able,leave
not^ however,leave my post while anything can be done
the interests of Texas. I am,however. Very anxious
the letter referrd. to at the commencement of this as dated,25th.
will not go by this mail but by the next post^ as I have no time to ,
finish the Copy. It will,however
ductory propositions,be presented
2nd. The Grovmt. of Texas offers,the Govmt. of Mexico
sideration^ the Sum of Millions of Dollars,to be paid as
ing,put an end
fcr which M. will be allowed,draw immediately on thj^ oovLc^hisioii
rights of Mexican citizens,lawfully obtained previous
tion of Independence allowing a term of three years,Mexicans to
Treat,Lamar Â«
have accompanied my last respects of 28th.* Inst.,Sent
(arising from a cold taking by bathing) has prevented my calling to ,
before I again addressed You,and
me,but not So with regard
the changes in the Cabinet now reduced,a great degree of Cer-
War and Navy,proceeds
the Interior,shall go
their places,will have
tainty in regard,their Sitccessors
^ The letter Intended may haTe been that of the 27th,which appears
been found; and the surmise that the dispatch of the 27th Is the one referred,is
strengthened by the fact that In the enumeration of duplicates in Treat,Lamar of April
ministry,probably
department,the satisfaction of the President.
This,however
the Government. In other Word^ â€” they find the Tension,its
to the restoration of Texas,"the National Union."" This gives room"
in all their efforts for three Months,obtain ways and Means for
Perhaps some Member may be found bold enough,propose a
Committee,examine the whole Subject and Report their opinion
of what the interests and honor of the Country require^ in relation to ,
Until I do receive them^ 1 shall continue making every effort to ,
also on the part of Gen,Hamilton
Military,Elevate Gen
Lamar,Trbat.^
[Authorizes JamÂ«s Treat,draw on Hamilton and Burnley
Lipscomb,Treat
Sir,I have the honor
existing circumstances. However it is thought,be the one most
likely,serve your purposes. You will therefore be authorized to
in London,for such an amount as will realize
I take this opportunity,renew
entire confidence,in your continued efforts
*A11 addressed,President Lamar.
thority,draw
I have the Honor,be
Lipscomb,Hamilton and Burnley.Â®
your efforts,procure the loan
time; The President has authorized Mr Treat,draw on you in
London for such amount as will realize,him two thousand dollars.
The Authority,enter into Commercial Arrangements with the
warded,you
with the French Government I refer you,my letter of 24th Febru-
ary,addressed
I have the honor,be
Treat,Secretary of State [Lipscomb].*
I have the honor,hand Y. E. herewith two documents addressed
by the parties interested,Kichard Pakenham Esquire
ty's Minister Plenipotentiary in Mexico,in relation
Mr Pakenham has desired me,forward these papers
Department,with a request that Y. E. will have the goodness
and what would be the proper course for the parties interested,pur-
sue,if any^ to test or adjudicate Said claims.
satisfaction (as I am under great obligations,him for his personal
attentions,as well as for his highly Valuable Services
try in promoting the objects of my Mission) I beg leave,recommend
to the Department the Matter above referred to,and
early a reply as may be convenient,addressd. to Mr : Pakenham as
Referring Y. E. to the Enclosed Note addressed,H. E
dent,in relation
I have the honor,be
ernment has authorized you,mediate between Mexico and Texas
therefore,beg leave respectfully
land made by the Grovemment of the State of Tamaulipas,one
quantity of land should be found,satisfy the claims of all the set-
transferred all his right,title and interest in the grant
and on my return,this place in the month of July 1835
work,organise a plan for peopling the colony. I opened a corre-
liee,and engaged ships
pointment,the intending colonists
When the next Congress assembled in May 1887 I sent an agent to ,
Texas had laid claim,the said tract of land embraced in the
"to cease their operations during the agitated and unsettled state 
 of the Country",and continue
ration of rights appended,the Constitution of Texas ^ on the 2nd.
" Republic."" By an Act, passed the 19th. Deer. 1836, to define the 
 this Republic be",and is hereby declared
" to the mouth of the Rio Grande, theoce up the principal stream of 
 the said River",its source
"the Treaty between the United States and Spain, to the begin- 
ning"" etc and by a supplementary act","an Act entitled ""an"
" Act,establish a general land Office for the Republic of Texas, 
subject alone","the disposition of the same"" â€” dated 12th. June"
According,the above quoted enactments it appears that I am
quently this Republic of Texas has no virtual rights,the tract
considered it my duty,lay this statement before you
and the usual protection afforded,all previous existing contracts
I am ready,and at all times willing
amount of indemnity,which I am fairly entitled should be the
1833,* to say nothing of the advantages which would have accrued
Being already well assured of your marked attention,all the
British Government,mediate between Mexico and Texas
fore beg leave,represent
the first 300 Certificates sold,Dr. Grant
have reason,believe that all the other purchases were duly paid.
tificates located and the correspcmding titles issued,the land.
The object of addressing you on this subject is,be in time
there will not be sufficient,satisfy the just claims on the Estate
far less,relieve the pressing necessities of his numerous children.
that quarter for the benefit of the heirs,I may be induced
which will compel me,trespass on your goodness in obtaining one
Treat,Lamar
and enclosed him two papers for his consideration and reply,to all
which I beg leave,refer you for particulars.
tions for his unwearied devotion,our interests in my negotiations
As regards the matter involved,of Course I have nothing
as tJiat will stand on its Merits,but permit me
as fuU^ a reply,Mr. Pakenham as the nature of the case will admit.
Referring you,a long communication of this days date
Treat,Lamar
can Port in the Gulf,I send this by tomorrows post
early ocmveyance,N. Orleans and thence
The mam object of this oommunicati&lt;m is,hand you dupUcates
to Vera Cruz,go pr Creole and Kathleen for N. Orleans (sailed 4th.
As it is uncertain when an opportunity will again offer,send
them forward. I hasten,transmit herewith duplicates of those de-
apprehension of some Military Movement against the Gk&gt;vmt. to ,
which effectually put a Stop,whatever
portance which will Serve,Strengthen the present Ministry is the
Mean/while^ I have heard nothing further in relation,the changes
in the Cabinet,which I adverted in one of my last. In proporticm
as the Administration gains strength,the less their hurry
(Merida) among whose leaders dissentions are Said,Exist
Govmt. to restore the whole l^epartmen^ to order again. ,
for the Govmt is timid or bold just in proportion,its weakness or
continue,gain Strength
iterated his assurances that he was doing all in his power,place my
mm^ have,act in the premises before the Cabinet decides on any
he might have time,confer with some of the leading men in the
delay) he should be able,bring about some favourable result
tfi,at circum^^noe might give an impulse
cision of Qovmt.,if in time
able and,in fact
leagues according,his views of Expediency ; as /
so demrous,bring the Matter
that,on the contarary
this purpose he should carry on the negotiation,an issue 4Â» he
Subsequently,this* interview
ator,(Sd3-Ko6a) reported
been Anti-T^sais in the offset and finally began,Vacillate) and that
Mexico (without enormous Sacrifices) to recover Texas,and hence
would be a tie,and this would Send the matter
I reported this,Mr. Pakenham and desired him
Recognition at present would not be acceded to,yet that something
tary would duly communicate,Mr Pakenham etc etc etc.
myself,believe
the opposite opinion and belief. I refer merely,the Secretary's
that he will be able,carry his Views with the President
or Council,but that he will do all in his power
I thought under all the circumstances I should like,see the
at the Bar of the Chamber of Deputies,where he had been called to
nor do I think it of much importance. As every thing Seems now to ,
I am anxiously awaiting the next post from Tampico,to arrive
forward,wJdch I trust will have been considered as entitled
A few days will decide whether,I am
I remark that Mr Pakenham has transmitted,his Govmt. every
thing which has taken place here in regard,the action of this
papers I have presented,the Secretary of State
of Gen. Hamilton's two letters,Mr. Pakenham
of Mr P. to the first of said letters. I therefore suggest that this ,
fact,might be communicated by the Department of State
cated,Gren. H. independently^ via N. York^ as it would Very Often
at once directed it,appear in the Govmt. paper
liberty,suggest that it would perhaps be as well that my corre-
be desirable,this Govmt.^ as well as
tions with Mexico should be brought,some definite point.
P. S. April 11th. Evening. I have made another effort,see the
Secy,of State^ but did not find him in. There is nothing new to
add,this letter. After next week^ we shall be done with Lent
1 hope,make some further progress in my affairs
not fail,advise You.
covering a packet,the address of Mr. J. T. at City of Mexo
which came,hand the 10th. Inst
Same day. And which the writer has no reason,doubt has ere this
Treat,Canedo
Treat,Lamar
I have the honor,enclose you duplicate of my last respects of
tion (marked B) made yesterday,the Secretary of State
I beg leave,refer you. On the Evening of the 15th. inst
pleasure,receive a Communication from your Department of State
plied,by Mr P.
I was thus enabled,make an important movement So soon as the
he Seaned gratified,and I exhibited
myself,addressing him the official letter above referred to.
5 April 20 1840,
the course he is desirous,give
Special cabinet Council,discuss the matter in question and place
President and his colleagues) he will press the Cabinet,pass the
papers and whole Subject,the OouncU of the Oovemment fcft its
If the Council recomm^id any action wiUi a View,faring the ne-
gotiation,Some point
opinion of the Council) shall determine,go forward in the Matter
they will then appeal,the Legislature for the necessary autharisKh
tion and powers,carry out such an amicable arrangement as the
Govmermt,May think proper
may wish,fix Some general hoses for the action of the Goverrimoit.
Congress may also grant the full powers,treat eorulitioned that
The application,Congress
what the Secretary will Say,my proposition
instructions in conformity,the Views of Gten. Hamilton
municated,Mr. P. (Pakenham
his last Visit,Texas. I have adverted
the Mexican Govmt. would agree,prepare itself for a full Recog-
and Ideas,and what I wish
of Your Grovmt,and how far (if a^ all) I am
you,them
I also take leave,remark that the letter referrd. to from the
Dept. of State contained not a word about funds,my order in New
birth,a new Republic
I have the honor,be with great Respect
I have the honor,present
authority,confer and act in the premises
Government of Texas,the fulfilment of any act or acts of mine
I would,therefore
to appoint a time when I can have the honor,present myself to
It affords me the utmost pleasure and satisfaction,be able
iterate,Y. E the Continued and Sincere desire of the President
tries as shall be alike honourable and advantageous,both parties
With these assurances,which I feel myself authorized
Y. E. will,I trust
that can ever occur,at least So far as regards TexaSj
and favourably all questions in relation,that Country
I therefore flatter Myself that I may be permitted,anticipate as
I have the honor,be
Bee,Secretary of State op Texas [Lipsoomb].*
I have but seldcxn written,you owing
was doubtful of the House's fidelity which you referred me,write
â€¢ It should be noted that the Inclosure (A. S. Wright,Bee) comet flnit In order
to,owing
Cruz etc. to Monterey Matamoras and Tampico in order,embody
with sufficient equipments,march into Texas. Troops
are Gathering from various parts of the Republic and marching to ,
gress has passed a direct law authorizing the Government,draw one
million of Dollars from the Marine Customs,defray in part [ex-
Mudi time has been and is taken up by both houses relative,this
interesting Country (Texas) and it is too rich a prize they think to ,
I have understood that a Mr Treat of this place was authorized to ,
a private source says that said Minister offered $4000000,expect'g to
would be convinced that this money would be thrown,the winds
If the Centralists were,recognize that Country from the best
motives possible,and
affairs,recognize Texas.
thus or,"the same amount "" if you do hot recognize Texas we shall """
Canedo answered that they were in no mood,recognize Texas
were making every preparation in their power,retake it.
The press I am sorry,inform You is no longer free
The Act of the freedom of the press has been thought,be
injurious,the Republic owing
A part of the lands on the Rio Grande have been given,the
Genl. Santa Anna has asked for a passport,leave the Country
Mexico now trembles,the very centre â€” foreseeing that her tawny
plain,be seen must people the Country â€” ^Mexico must either come
have Almost become entire wastes owing,the fierce race called
wish another brush,this cast your pencil into the blades of the
assassin's knife and Add,this Ten thousand robbers who Swarm
I conclude dear Sir by informing you that you have no time,lose
neglect,do so as I am uneasy having never heard from Mr Bryan â€”
ter,come by Mr. Snyder Vera Cruz who will forward the same.
N. B. Be careful,guard your words when you write me in Case
of Texas,(although not
cluded,send you the copy complete
able by having the whole,to judge of the value of the information
(although that part of it in relation,Mr Treat
engaged,keep me informed of movements there.
T have the honor,Remain
Treat,Lamar
send them by tomorrow's post,Tampico
This delay enables me,hand you a despatch from Mr Pakenham
to Your Dept. of State^ in answer,the one recently received by
should Soon have the papers ready,place before the Cabinet
he should endeavour,give the business the course already indicated
pending before Congress,provide Ways^ and Means for the recov- '
House,and its provisions approved of by that body
the Govmt. can apply the proceeds of the Revenue,the Restoration
the 27th. inst,he should open my affair
Mr Pakenham,since I saw him
the Hon. Judge Burnet^ instead of,the Hon the Secretary of State
ofjlcidlly^ nor give any cffioial titles of Recognition,in his letters to
me,make this remark
Pakenham,Burnet
I have had the honour,receive from the hands of Mr. James
Treat your letter of the 12th. March; and I am much gratified to ,
The difficulties which had existed with regard,the recognition
power lately transmitted,him
and it will afford me sincere pleasure,txmtinue
I have,request that you will be pleased
to Greneral Lamar,and
tion with \diich I have the hoaor,be
Tbbat,Lamas.^
I avail of the English Cabinet Ccmrier,hand you
in case the originals,sent via. Tampieo
which I beg leave,refer you.
I had hoped that I might be able,say aomethmg^ by this oon-
relation,ottr affairs^ and
you up,thds^ the latest moinent; but neitha* Mr: Pakenham nor
myself have been able,see the Secretary thds week from his indih^
I trust however,in my next^ to be aMe
on otJier busin^Sj whidi goes with this^ and,which permit me to
Bee,Secretaby of State of Texas [Lip8cx)mb].&lt;^
â€¢April 28 1840,
it is said,to Santa- Annas return here as Commandtuite Greneral of
de Paula Taro,of Vera Cruiz who is brother in law
about his being in a delicate State of health,owing
their doubts as,his returning
presume with the good wishes of Santa Anna,but owing
of Government in Mexico. General Filasola is said,be at present
^ but at present his influence is not,be Considered. Santa
erect with his artificial foot and thinks he is as able,Command an
forward,another Revolution in his favor. Thousands are Said to
having been called for,to march against the Republic of was
say that the sixty thousand men are,be raised
rious Mexican ports and not,invade Texas. But one thing is cer-
tain that Sixty Thousand men have been ordered,be raised
order,retake and the opinion of the people here is that
they had not money enough,pay the caravans
It was however taken,the City. It is also reported
propels the true Patriot,take up th^ cause and fight for his Coun-
pay,who are sadly clad
of will never be able,reach it
as I leave in the morning for Jalapa and from thence,Pueblo
thence for the Capitol,think it prudent
something more Certain but give you,understand that it is my
opinion that â€” ^ will not be invaded for some twelve months to ,
I have postponed writing dnring the last two months,owing to
my being unable,procure correct information relative
tant object,for which I came
brigands,drive off whole Caravans without respect
erty ; add,these
Republic. But having returned,this City from a tour through the
Northern part of Mexico,I shall be able from time
whatever of information or of interest that I may be able,procure
relative,that which most interests a patriotic heart in the welfare
bom but descendants of Spain. Add,the above
edly they have applied,to the Head Department for assistance
political villainies lurking,in every quarter has been unable
feelings of this people in general,it is hostile
some of the leading characters of the Federal party who pretend to ,
the Eio Grande,and Â« nearly
have learned,have made propositions
proposing,lay aside their national quarrel for the present
Canales,he has called on the Mexican Govrmt. for assistance to
much better aspect than the last mentioned,and I find the people to
the same; they are scratching together ways and means,assist
Tamaulipas,drive the Texians off the Rio Nueces; Durango
of money and party spirit is a great annoyance,the enemies of
hurried and faint sketch,I shall proceed more leisurely
August,that the great Army Spirit had in a manner ceased
under Some ten months,go
learned since,not far wrong in my surmises. But
long conversation ensued,and
but some 20 or 25 thousand men,to go against Texas
pected,be one of the Officers. He said it would be some months
first,before affairs could be regulated
House â€” ^that the intention of the Government was,have Steamboats
or Schooners,carry the right wing of the Army
troops that would be taken by sea) to the Coast of Texas; and that ,
they intended,to have flat bottomed row-boats
and that the troops destined,march would start direct for some
sary,relate here.)
employed in private Council: The first is,establish tranquillity
such laws,as shall be conducive
carry with them the desired effect of leading over,the present
"upon "" the Ways and Means "" best calculated",carry success
Betaking of Texas ! ! ! Too true,be a joke. Yes
much risk,my personal safety. Thrice have I been announced as
able,prove anything
this,make themselves popular with the Mexicans). The 1st. was
with He has returned,Orleans
Texas,live; he is pock-marked
very favourable had escaped the lips of Mr. in reference,me
ought not,leave the country
But,proceed
relative,the retaking of Texas. Perhaps in no country is it so
hard,procure correct information as in this. Every pass
link,every fibre that is made
about,be raised (Santa Ana will probably take the chair in his
number are,be drafted
infantry and horse of this City already amounts,some 3
proclamation that I saw issued some time since,have the draft
The idea held out is an augmentation of the army,"defend ""Za"
frontiers and coasts,which is the self and same thing
"2nd."" To raise money",fit out a campaign with an empty Treas-
rupt,but Congress anxious
cause will vote for almost any act,that will be beneficial
Government,borrow $800
has many very wealthy citizens who are ready at a moment,lend
thousands upon thousands,defray the expenses of the war against
Cruz,an army was about
proposed,furnish 6
che Indians boasted of the great Mexican Army,which was
them against Texas ; I wrote the same,head-quarters. These same
by the same. Another Spur,the quick advancement of this con-
and be brought,terms. Guard well your Coasts
it not be much better,come
communication,not
tion. I would not have you run the Country,any unnecessary ex-
pense under present circumstances,but what I would wish you to
position as,be ready
announce,you the Same.
understand it was rather doubtful if it would amount,any thing
serious. These were only intended,draw back the Texans
intended,make a general invasion. It would perhaps be well to
Country. As before mentioned,he proposed by letter
liso of Matamoras,join against Texas; the Genl. was suspicious
and did not think it prudent,either
but proposed,a higher source
to amount,2000 men
designed for foreign but internal purposes,namely
Federal party. The Country therefore I have reason,believe is
So much,be a president with power
any intelligence directly or indirectly relative,Mexico. The truth
and as often destroyed the same,owing
is no country in which it is so hard,come at matter of fact as in this ;
reach of civilization. The latter tribes averse,every species of
from hand,mouth
these of course,Dear Sir
from which,then
as an important truth related,me one day has as often been contra-
Much of the news published in your papers relative,this country
rier,but from a source that will carry a weight sufficient
It is said he wishes,live retired
after Wright's letter of November 18,without any explanation or even reference
What resources,replenish
When will she be able,pay
money,pay for expenses for
assist her,expel a foreign
but it all belongs,the clergy.
Empty,drained
has power,make loans at enor-
to which she is able,apply for
enabled,receive [payment] in
among the patriotic rich are to ,
be found those who are willing to ,
of Mexico (City) proposed,pay
If that was the case,why do not Were you
means,"retake Texas; I should haps receive the reply ""that the"
them,go against that country
they been in a state during the last two years,leave the Country in
five thousand Men,which is
